lake,mid.depth,wet.weight.processed.g,bosmina,daphnia,zoop.ratio,d15NAIR,d13CVPDB,mgN,mgC,pn,nBeta,pc,cBeta,c.n.ratio,Fuco,Sed_A,Sed_B,Sed_C,Aphan,Sudan,Myxo,Allo,Diato,Lut_Zea,Cantha,Chl_b,Chl_a,Chl_ap,Echine,Pheo_B,Pheo_A,b.car,Diadino,tp,year,diff,weight
Buffalo Pound,1,NA,NA,NA,NA,5.452753704,-24.79884378,96.71117261,658.0636562,0.855851085,0.008558511,5.823572179,0.058235722,7.938492642,145.7037256,0,0,0,262.4281524,2108.23,0,115.8759645,123.9852364,280.6276,91.85265471,50.03626295,184.7534945,105.4658948,71.52091812,655.8882643,511.686961,124.3361602,NA,NA,2010.038829,NA,0.4
Buffalo Pound,2,NA,NA,NA,NA,5.513605915,-24.53008742,90.71401817,732.8667624,0.757212172,0.007572122,6.117418718,0.061174187,9.425348366,153.6883188,0,0,0,267.7422796,2202.55,0,156.2576162,169.0389722,386.8219265,114.479543,31.49265449,271.631558,127.3498059,86.36133092,751.6162478,644.35909,160.2509948,NA,NA,2007.610437,2.428391896,0.382464064
Buffalo Pound,3,NA,NA,NA,NA,5.498115032,-23.59316687,90.35863942,776.0776497,0.726939979,0.0072694,6.243585275,0.062435853,10.02033597,113.9447667,0,0,0,286.494002,2263.18,0,148.0806072,144.9086439,337.0229207,109.6764702,30.66665804,217.827648,128.2952725,106.3363792,704.5259363,654.3719262,233.1491405,NA,NA,2004.592389,3.018048394,0.475333103
Buffalo Pound,4,NA,NA,NA,NA,5.219412287,-22.74252782,74.56653696,602.6546922,0.702133116,0.007021331,5.674714616,0.056747146,9.429124236,88.48178906,0,0,0,349.9787375,2008.19,39.39776105,121.4310085,127.8301045,324.782415,111.9145371,22.64600304,271.8349072,154.879572,105.0304386,740.8850039,564.7460526,215.1856023,NA,NA,2000.881085,3.711303913,0.58451866
Buffalo Pound,5,NA,NA,NA,NA,5.725466414,-23.45811308,85.8575392,786.2860683,0.633634976,0.00633635,5.802849213,0.058028492,10.68437035,58.396793,0,0,0,361.8536141,2247.34,43.31532851,100.1292438,104.0159985,276.7309303,95.1985531,26.65917035,213.3545781,102.845693,85.24272485,579.2375901,445.402818,139.9583254,NA,NA,1996.90644,3.974644607,0.625993989
Buffalo Pound,6,NA,NA,NA,NA,5.784070839,-23.11462438,71.49762907,615.5573236,0.628274421,0.006282744,5.409115322,0.054091153,10.04439196,38.11459009,0,0,0,207.4318148,2041.72,33.42022457,77.25537189,80.05784402,210.3866608,79.37860995,22.71268972,185.1960397,74.66336993,75.94861983,556.4554245,414.3874107,121.6054861,NA,NA,1993.184317,3.722122933,0.586222622
Buffalo Pound,7,NA,NA,NA,NA,5.618444788,-23.32115559,93.59317978,780.2568013,0.63238635,0.006323864,5.272005414,0.052720054,9.726131794,39.16601642,0,0,0,237.4807926,1935.17,17.4040175,120.6952253,99.8955268,288.7940549,100.7586738,26.2376803,185.809202,99.03800642,67.16189304,575.4416128,422.2740225,116.548195,NA,NA,1989.851017,3.333300098,0.524984252
Buffalo Pound,8,NA,NA,NA,NA,6.067623546,-23.66272659,67.22650637,635.0519537,0.589189363,0.005891894,5.565748937,0.055657489,11.02086046,29.35766831,0,0,0,120.2321706,2089.97,0,101.1650601,79.65239914,189.5751674,78.72582941,21.7085529,164.8978755,86.34672391,58.55539349,513.2618733,346.2975055,90.45386437,NA,NA,1986.67943,3.171586991,0.499514947
Buffalo Pound,9,NA,NA,NA,NA,6.237176706,-23.56139946,65.76348201,570.197138,0.611753321,0.006117533,5.304159423,0.053041594,10.11549228,34.77024293,0,0,0,158.1555247,2033.2,0,132.6961003,99.85014639,278.7625541,95.37903728,25.58462566,190.6889579,91.35533545,61.95194643,513.7930096,375.4270726,72.94816031,NA,NA,1983.414615,3.264815054,0.514198073
Buffalo Pound,10,NA,NA,NA,NA,6.328661039,-24.29056966,78.70285922,748.7036372,0.574054407,0.005740544,5.461003918,0.054610039,11.09854947,29.55886074,0,0,0,76.07183298,2085.16,0,87.63568647,85.39450718,187.0927828,81.86187073,21.11136176,151.7738485,70.87688499,58.74566672,505.7360629,387.1152944,83.95838348,NA,NA,1979.740088,3.674526859,0.57872639
Buffalo Pound,11,NA,NA,NA,NA,6.158379469,-23.64923206,67.13774618,609.3130086,0.584314588,0.005843146,5.302985279,0.053029853,10.58815967,29.93276796,0,0,0,39.8633929,1887.22,0,89.82333266,85.60543305,204.1551889,61.38668794,15.92806303,150.652888,63.24680582,42.89035454,507.0229552,341.2748262,81.99766255,NA,NA,1975.325835,4.414253644,0.695231026
Buffalo Pound,12,NA,NA,NA,NA,6.119754689,-23.18985011,77.76951268,772.3986566,0.536711613,0.005367116,5.330563538,0.053305635,11.58721117,18.57165988,0,0,0,20.45080062,1845.48,0,65.70723515,65.50000339,155.3367167,62.03330269,15.24567042,115.4828574,49.77536492,50.63219449,455.0687361,304.19279,71.13996563,NA,NA,1970.028315,5.297519497,0.834342612
Buffalo Pound,13,NA,NA,NA,NA,6.323023675,-23.20516994,69.87857051,663.7663264,0.573245041,0.00573245,5.445170848,0.054451708,11.08199612,14.7179024,0,0,0,10.67530554,1805.32,0,55.69198671,57.50616428,127.1962541,54.82680321,13.34931918,95.54816676,55.95703939,37.94685324,416.6825939,283.311136,48.71498438,NA,NA,1963.957108,6.071206783,0.956195919
Buffalo Pound,14,NA,NA,NA,NA,6.346742355,-22.49218335,68.57817385,637.2425874,0.511014708,0.005110147,4.748454451,0.047484545,10.84090817,19.13054363,0,0,0,50.46598602,2079.64,0,63.63246446,72.16333038,126.2437406,71.71867301,17.66750435,109.5995866,54.71982243,37.10784369,412.845107,289.6201539,34.68610348,NA,NA,1957.234179,6.722929189,1.058840142
Buffalo Pound,15,NA,NA,NA,NA,6.718180128,-22.33882057,60.06816333,544.9948018,0.506476925,0.005064769,4.595234417,0.045952344,10.58509589,11.45262039,0,0,0,7.878670771,1819.01,0,51.2976478,61.22058401,123.7585252,48.9568177,18.41997303,89.5955613,50.36942139,34.15765133,336.7332523,210.5672768,32.25386738,NA,NA,1949.941759,7.292420433,1.148533217
