Lake,Year,LSA
Buffalo Pound ,2021,26.445
Buffalo Pound ,2020,27.031
Buffalo Pound ,2019,27.268
Buffalo Pound ,2018,27.096
Buffalo Pound ,2017,27.346
Buffalo Pound ,2016,27.119
Buffalo Pound ,2015,27.268
Buffalo Pound ,2014,27.396
Buffalo Pound ,2013,27.447
Buffalo Pound ,2012,26.644
Buffalo Pound ,2011,27.813
Buffalo Pound ,2010,26.958
Buffalo Pound ,2009,27.095
Buffalo Pound ,2008,27.036
Buffalo Pound ,2007,27.091
Buffalo Pound ,2006,27.222
Buffalo Pound ,2005,27.187
Buffalo Pound ,2004,27.197
Buffalo Pound ,2003,27.287
Buffalo Pound ,2002,27.122
Buffalo Pound ,2001,27.205
Buffalo Pound ,2000,27.131
Buffalo Pound ,1999,27.548
Buffalo Pound ,1998,27.302
Buffalo Pound ,1997,27.808
Buffalo Pound ,1996,27.757
Buffalo Pound ,1995,27.22
Buffalo Pound ,1994,27.743
Buffalo Pound ,1993,27.214
Buffalo Pound ,1992,27.141
Buffalo Pound ,1991,27.22
Buffalo Pound ,1990,27.172
Buffalo Pound ,1989,27.099
Buffalo Pound ,1988,26.9
Buffalo Pound ,1987,26.921
Buffalo Pound ,1986,27.132
Buffalo Pound ,1985,27.425
Buffalo Pound ,1984,27.007
Buffalo Pound ,1983,27.01
Buffalo Pound ,1982,26.5596
Buffalo Pound ,1981,26.6796
Buffalo Pound ,1980,27.306
Buffalo Pound ,1979,27.9148
Buffalo Pound ,1978,27.2088
Buffalo Pound ,1977,27.8784
Buffalo Pound ,1976,27.93
Buffalo Pound ,1975,28.2992
Buffalo Pound ,1974,28.3252
Buffalo Pound ,1973,27.5148
Buffalo Pound ,1972,27.5328
Pelican,2021,25.857
Pelican,2020,26.895
Pelican,2019,27.187
Pelican,2018,27.468
Pelican,2017,27.58
Pelican,2016,27.633
Pelican,2015,27.632
Pelican,2014,27.355
Pelican,2013,26.912
Pelican,2012,26.864
Pelican,2011,27.029
Pelican,2010,24.971
Pelican,2009,24.539
Pelican,2008,25.078
Pelican,2007,25.861
Pelican,2006,25.868
Pelican,2005,25.39
Pelican,2004,25.87
Pelican,2003,26.384
Pelican,2002,26.148
Pelican,2001,27.02
Pelican,2000,29.9475
Pelican,1999,30.8817
Pelican,1998,29.40885
Pelican,1997,30.5739
Pelican,1996,27.8091
Pelican,1995,20.889
Pelican,1994,23.2668
Pelican,1993,15.4737
Pelican,1992,1.9935
Pelican,1991,4.194
Pelican,1990,0.41985
Pelican,1989,0.3105
Pelican,1988,0.0171
Pelican,1987,3.0672
Pelican,1986,3.1635
Pelican,1985,8.5509
Pelican,1984,2.4552
Pelican,1983,4.014
Pelican,1982,15.2568
Pelican,1981,0.027
Pelican,1980,2.1924
Pelican,1979,10.6524
Pelican,1978,16.7274
Pelican,1977,21.636
Pelican,1976,22.8258
Pelican,1975,21.5784
Pelican,1974,9.0504
Pelican,1973,0.9576
Pelican,1972,11.5812
