lake,depth,year,taxon,conc
Buffalo Pound,0,2014,Chydorus spp.,
Buffalo Pound,0,2014,Alona spp.,
Buffalo Pound,0,2014,Bosmina spp.,
Buffalo Pound,0,2014,Daphnia spp.,
Buffalo Pound,0,2010,Chydorus spp.,
Buffalo Pound,1,2010,Alona spp.,
Buffalo Pound,1,2010,Bosmina spp.,
Buffalo Pound,1,2010,Daphnia spp.,
Buffalo Pound,2,2007,Chydorus spp.,22.83072
Buffalo Pound,2,2007,Alona spp.,9.703056
Buffalo Pound,2,2007,Bosmina spp.,90.181344
Buffalo Pound,2,2007,Daphnia spp.,3.995376
Buffalo Pound,4,2000,Chydorus spp.,43.825887
Buffalo Pound,4,2000,Alona spp.,4.869543
Buffalo Pound,4,2000,Bosmina spp.,99.477807
Buffalo Pound,4,2000,Daphnia spp.,1.391298
Buffalo Pound,5,1996,Chydorus spp.,69.200586
Buffalo Pound,5,1996,Alona spp.,15.969366
Buffalo Pound,5,1996,Bosmina spp.,131.557158
Buffalo Pound,5,1996,Daphnia spp.,12.927582
Buffalo Pound,6,1993,Chydorus spp.,21.2895
Buffalo Pound,6,1993,Alona spp.,7.885
Buffalo Pound,6,1993,Bosmina spp.,89.1005
Buffalo Pound,6,1993,Daphnia spp.,0
Buffalo Pound,7,1989,Chydorus spp.,59.377008
Buffalo Pound,7,1989,Alona spp.,10.431096
Buffalo Pound,7,1989,Bosmina spp.,110.730096
Buffalo Pound,7,1989,Daphnia spp.,4.814352
Buffalo Pound,8,1986,Chydorus spp.,63.660336
Buffalo Pound,8,1986,Alona spp.,7.538724
Buffalo Pound,8,1986,Bosmina spp.,103.029228
Buffalo Pound,8,1986,Daphnia spp.,0
Buffalo Pound,9,1983,Chydorus spp.,59.16456
Buffalo Pound,9,1983,Alona spp.,37.319184
Buffalo Pound,9,1983,Bosmina spp.,119.239344
Buffalo Pound,9,1983,Daphnia spp.,0
Buffalo Pound,10,1979,Chydorus spp.,27.39321
Buffalo Pound,10,1979,Alona spp.,4.565535
Buffalo Pound,10,1979,Bosmina spp.,143.357799
Buffalo Pound,10,1979,Daphnia spp.,0
Buffalo Pound,12,1970,Chydorus spp.,47.763282
Buffalo Pound,12,1970,Alona spp.,13.51791
Buffalo Pound,12,1970,Bosmina spp.,144.19104
Buffalo Pound,12,1970,Daphnia spp.,1.802388
Buffalo Pound,13,1963,Chydorus spp.,35.84364
Buffalo Pound,13,1963,Alona spp.,6.272637
Buffalo Pound,13,1963,Bosmina spp.,110.219193
Buffalo Pound,13,1963,Daphnia spp.,0.896091
Buffalo Pound,14,1957,Chydorus spp.,119.1875
Buffalo Pound,14,1957,Alona spp.,8.5815
Buffalo Pound,14,1957,Bosmina spp.,145.8855
Buffalo Pound,14,1957,Daphnia spp.,3.814
Buffalo Pound,15,1949,Chydorus spp.,86.27874
Buffalo Pound,15,1949,Alona spp.,9.135396
Buffalo Pound,15,1949,Bosmina spp.,197.93358
Buffalo Pound,15,1949,Daphnia spp.,1.015044
Buffalo Pound,16,1942,Chydorus spp.,127.389771
Buffalo Pound,16,1942,Alona spp.,8.751969
Buffalo Pound,16,1942,Bosmina spp.,318.960648
Buffalo Pound,16,1942,Daphnia spp.,0.972441
