Lake,year,area,aphan,allo,diato,lutzea,canth,echine,pheob,pheoa,bcar,15n,13c,N,C,C.N
Buffalo Pound,2010,26.958,262.4281524,115.8759645,123.9852364,280.6276,91.85265471,71.52091812,655.8882643,511.686961,124.3361602,5.452753704,-24.79884378,0.855851085,5.823572179,7.938492642
Buffalo Pound,2007,27.091,267.7422796,156.2576162,169.0389722,386.8219265,114.479543,86.36133092,751.6162478,644.35909,160.2509948,5.513605915,-24.53008742,0.757212172,6.117418718,9.425348366
Buffalo Pound,2004,27.197,286.494002,148.0806072,144.9086439,337.0229207,109.6764702,106.3363792,704.5259363,654.3719262,233.1491405,5.498115032,-23.59316687,0.726939979,6.243585275,10.02033597
Buffalo Pound,2000,27.131,349.9787375,121.4310085,127.8301045,324.782415,111.9145371,105.0304386,740.8850039,564.7460526,215.1856023,5.219412287,-22.74252782,0.702133116,5.674714616,9.429124236
Buffalo Pound,1996,27.757,361.8536141,100.1292438,104.0159985,276.7309303,95.1985531,85.24272485,579.2375901,445.402818,139.9583254,5.725466414,-23.45811308,0.633634976,5.802849213,10.68437035
Buffalo Pound,1993,27.214,207.4318148,77.25537189,80.05784402,210.3866608,79.37860995,75.94861983,556.4554245,414.3874107,121.6054861,5.784070839,-23.11462438,0.628274421,5.409115322,10.04439196
Buffalo Pound,1989,27.099,237.4807926,120.6952253,99.8955268,288.7940549,100.7586738,67.16189304,575.4416128,422.2740225,116.548195,5.618444788,-23.32115559,0.63238635,5.272005414,9.726131794
Buffalo Pound,1986,27.132,120.2321706,101.1650601,79.65239914,189.5751674,78.72582941,58.55539349,513.2618733,346.2975055,90.45386437,6.067623546,-23.66272659,0.589189363,5.565748937,11.02086046
Buffalo Pound,1983,27.01,158.1555247,132.6961003,99.85014639,278.7625541,95.37903728,61.95194643,513.7930096,375.4270726,72.94816031,6.237176706,-23.56139946,0.611753321,5.304159423,10.11549228
Buffalo Pound,1979,27.9148,76.07183298,87.63568647,85.39450718,187.0927828,81.86187073,58.74566672,505.7360629,387.1152944,83.95838348,6.328661039,-24.29056966,0.574054407,5.461003918,11.09854947
Buffalo Pound,1975,28.2992,39.8633929,89.82333266,85.60543305,204.1551889,61.38668794,42.89035454,507.0229552,341.2748262,81.99766255,6.158379469,-23.64923206,0.584314588,5.302985279,10.58815967
