Depth,pb,se.pb,pb.lwr,pb.upr,ra,se.ra,ra.lwr,ra.upr,cs,se.cs,cs.lwr,cs.upr
0.35,167.0892775,34.17654011,132.9127374,201.2658176,28.09633512,19.59796299,8.498372126,47.69429812,10.74661246,7.14421162,3.602400843,17.89082408
2.45,127.9139646,20.99509757,106.918867,148.9090621,26.03086145,11.70202697,14.32883448,37.73288842,16.68797113,4.347003648,12.34096748,21.03497477
4.55,155.5077293,19.60451852,135.9032108,175.1122478,37.08236462,11.47467549,25.60768913,48.55704012,19.62694639,4.078083825,15.54886256,23.70503021
6.65,137.4342011,15.4390104,121.9951907,152.8732115,35.26900792,8.337867137,26.93114079,43.60687506,17.7591004,3.068969252,14.69013114,20.82806965
8.75,87.45876254,20.20430906,67.25445348,107.6630716,36.40041522,11.05149928,25.34891594,47.45191451,24.18006298,3.963744332,20.21631864,28.14380731
10.85,99.05915938,18.595499,80.46366038,117.6546584,34.04194561,10.37470002,23.6672456,44.41664563,21.23383944,3.874211923,17.35962752,25.10805136
12.95,108.9785862,18.17937156,90.79921465,127.1579578,45.4012654,9.791394894,35.6098705,55.19266029,18.04852862,3.972283934,14.07624469,22.02081256
15.05,70.59184434,18.28399612,52.30784821,88.87584046,28.14408995,10.44604608,17.69804387,38.59013604,25.23598253,3.814373792,21.42160874,29.05035633
17.15,73.60805691,10.85056546,62.75749144,84.45862237,32.90584943,5.928744428,26.97710501,38.83459386,29.19148527,2.146800036,27.04468523,31.3382853
19.25,42.17645682,17.36105169,24.81540513,59.53750851,31.62814374,9.501683098,22.12646064,41.12982684,28.2957456,3.611433982,24.68431162,31.90717958
21.35,52.38426317,21.67284268,30.71142049,74.05710585,38.29990511,10.52334016,27.77656496,48.82324527,27.71917913,4.417680484,23.30149864,32.13685961
23.45,43.38766633,25.36721269,18.02045364,68.75487902,33.67741773,11.34996395,22.32745378,45.02738168,25.76609049,4.510306051,21.25578444,30.27639654
25.55,42.97850036,27.28520966,15.6932907,70.26371002,31.11194147,11.03953501,20.07240646,42.15147649,19.9574507,4.119692028,15.83775867,24.07714273
27.65,62.34759274,14.12071569,48.22687705,76.46830843,33.97389755,5.425693461,28.54820409,39.39959102,11.87339921,1.886730381,9.986668825,13.76012959
30.45,112.4039794,20.54130083,91.86267861,132.9452803,36.33738664,7.265596063,29.07179058,43.6029827,8.067591237,2.490297505,5.577293733,10.55788874
