"lake","mid.depth","wet.weight.processed.g","bosmina","daphnia","zoop.ratio","d15NAIR","d13CVPDB","mgN","mgC","pn","pc","c.n.ratio","Fuco","Sed_A","Sed_B","Sed_C","Aphan","Sudan","Myxo","Allo","Diato","Lut_Zea","Cantha","Chl_b","Chl_a","Chl_ap","Echine","Pheo_B","Pheo_A","b.car","Diadino","tp","year","diff","weight"
"Buffalo~Pound",1,NA,NA,NA,NA,5.45275370426591,-24.7988437789631,96.7111726126951,658.063656170904,0.00855851085068098,0.0582357217850357,7.93849264214803,145.703725649378,0,0,0,262.42815243624,2108.23,0,115.875964519282,123.985236432484,280.627600013149,91.8526547126479,50.0362629506985,184.753494543257,105.465894826085,71.5209181223415,655.888264292924,511.686960960296,124.336160196244,NA,NA,2010.03882904698,NA,0.4
"Buffalo~Pound",2,NA,NA,NA,NA,5.51360591540219,-24.5300874219821,90.7140181661022,732.866762449539,0.00757212171670302,0.0611741871827662,9.42534836558804,153.688318830013,0,0,0,267.742279593982,2202.55,0,156.257616183497,169.038972165421,386.821926504301,114.479542976228,31.4926544858641,271.631558033668,127.34980594531,86.3613309205801,751.616247786985,644.359090026827,160.250994841089,NA,NA,2007.6104371508,2.42839189618257,0.382464064081902
"Buffalo~Pound",3,NA,NA,NA,NA,5.49811503243259,-23.5931668722886,90.3586394164033,776.077649669288,0.0072693997921483,0.0624358527489371,10.0203359685582,113.944766712954,0,0,0,286.494002003511,2263.18,0,148.080607177831,144.908643894656,337.022920691536,109.676470170191,30.6666580449652,217.827648027491,128.295272528808,106.336379240176,704.525936318548,654.371926241858,233.149140544398,NA,NA,2004.59238875682,3.01804839397732,0.475333102606286
"Buffalo~Pound",4,NA,NA,NA,NA,5.21941228669022,-22.7425278156161,74.5665369594866,602.654692170314,0.00702133116379347,0.0567471461553968,9.42912423634977,88.4817890550577,0,0,0,349.9787374647,2008.19,39.397761048413,121.43100854517,127.83010445579,324.782415018969,111.914537123599,22.6460030423695,271.834907238119,154.879571982825,105.030438559055,740.885003890656,564.746052633391,215.185602311102,NA,NA,2000.88108484426,3.71130391256656,0.584518660136623
"Buffalo~Pound",5,NA,NA,NA,NA,5.72546641355232,-23.4581130819138,85.8575391987842,786.286068330412,0.00633634975636784,0.0580284921277057,10.6843703528655,58.396793000222,0,0,0,361.853614120627,2247.34,43.3153285118411,100.129243769617,104.015998502784,276.730930322224,95.1985530980945,26.6591703521932,213.354578052198,102.845693019551,85.2427248532487,579.237590104102,445.402818046777,139.958325377392,NA,NA,1996.9064402373,3.97464460696051,0.625993988881703
"Buffalo~Pound",6,NA,NA,NA,NA,5.78407083942313,-23.1146243841106,71.4976290708014,615.557323613324,0.00628274420657305,0.0540911532173395,10.0443919639776,38.114590088684,0,0,0,207.431814842584,2041.72,33.4202245694075,77.2553718905941,80.0578440213092,210.386660812244,79.3786099463928,22.7126897195199,185.196039745281,74.6633699253555,75.9486198259902,556.455424471511,414.387410735982,121.605486139629,NA,NA,1993.18431730472,3.72212293257985,0.586222621663661
"Buffalo~Pound",7,NA,NA,NA,NA,5.61844478802559,-23.3211555928373,93.5931797804572,780.256801300968,0.00632386349867954,0.0527200541419573,9.72613179350353,39.1660164225075,0,0,0,237.480792569767,1935.17,17.4040175002432,120.695225274084,99.8955268004758,288.794054868465,100.758673826403,26.2376802964163,185.809201959307,99.0380064187032,67.1618930437416,575.441612824718,422.274022453832,116.548194970876,NA,NA,1989.85101720715,3.33330009757015,0.524984251563912
"Buffalo~Pound",8,NA,NA,NA,NA,6.06762354645035,-23.6627265854341,67.2265063706258,635.051953675193,0.00589189363458596,0.0556574893668004,11.0208604604525,29.3576683143442,0,0,0,120.232170613042,2089.97,0,101.16506007209,79.6523991376701,189.575167395575,78.7258294109612,21.7085528951562,164.897875525191,86.3467239093232,58.555393485589,513.261873251816,346.297505456192,90.4538643681303,NA,NA,1986.67943021579,3.17158699135416,0.499514947405922
"Buffalo~Pound",9,NA,NA,NA,NA,6.23717670641244,-23.5613994602508,65.7634820083187,570.19713799514,0.00611753321007616,0.0530415942321061,10.1154922764509,34.7702429326999,0,0,0,158.155524684184,2033.2,0,132.696100345317,99.8501463918549,278.762554131692,95.3790372817346,25.5846256596064,190.688957870441,91.3553354503582,61.9519464330958,513.793009623673,375.42707263383,72.9481603110263,NA,NA,1983.41461516229,3.26481505350625,0.51419807313749
"Buffalo~Pound",10,NA,NA,NA,NA,6.32866103907798,-24.2905696640173,78.7028592176669,748.703637180211,0.0057405440713105,0.0546100391816347,11.0985494732086,29.5588607426523,0,0,0,76.0718329824899,2085.16,0,87.6356864711406,85.3945071754678,187.092782777396,81.8618707296302,21.1113617598741,151.77384852827,70.8768849909557,58.7456667202472,505.736062937035,387.115294436458,83.9583834764781,NA,NA,1979.74008830324,3.67452685904505,0.578726390208154
