lake,depth,year,taxon,conc
Pelican,0.25,2015,Chydorus spp.,346.7191
Pelican,0.25,2015,Pleuroxus spp.,40.79048761
Pelican,0.25,2015,Leydgia spp.,13.5968292
Pelican,0.25,2015,Alona spp.,13.5968292
Pelican,0.25,2015,Paralona spp.,0
Pelican,0.25,2015,Bosmina spp.,339.92073
Pelican,0.25,2015,Daphnia spp.,67.98414601
Pelican,0.25,2015,Ceriodaphnia spp.,40.79048761
Pelican,0.25,2015,Diaphanosoma spp.,20.3952438
Pelican,0.25,2015,Leptodora spp.,13.5968292
Pelican,1.75,2012,Chydorus spp.,649.9984364
Pelican,1.75,2012,Pleuroxus spp.,13.40202962
Pelican,1.75,2012,Leydgia spp.,0
Pelican,1.75,2012,Alona spp.,6.701014808
Pelican,1.75,2012,Paralona spp.,0
Pelican,1.75,2012,Bosmina spp.,522.679155
Pelican,1.75,2012,Daphnia spp.,33.50507404
Pelican,1.75,2012,Ceriodaphnia spp.,0
Pelican,1.75,2012,Diaphanosoma spp.,13.40202962
Pelican,1.75,2012,Leptodora spp.,26.80405923
Pelican,2.75,2009,Chydorus spp.,638.8809878
Pelican,2.75,2009,Pleuroxus spp.,0
Pelican,2.75,2009,Leydgia spp.,0
Pelican,2.75,2009,Alona spp.,0
Pelican,2.75,2009,Paralona spp.,0
Pelican,2.75,2009,Bosmina spp.,372.6805763
Pelican,2.75,2009,Daphnia spp.,79.86012348
Pelican,2.75,2009,Ceriodaphnia spp.,13.31002058
Pelican,2.75,2009,Diaphanosoma spp.,0
Pelican,2.75,2009,Leptodora spp.,0
Pelican,3.75,2007,Chydorus spp.,566.0601844
Pelican,3.75,2007,Pleuroxus spp.,31.89071461
Pelican,3.75,2007,Leydgia spp.,0
Pelican,3.75,2007,Alona spp.,0
Pelican,3.75,2007,Paralona spp.,7.972678652
Pelican,3.75,2007,Bosmina spp.,398.6339326
Pelican,3.75,2007,Daphnia spp.,79.72678652
Pelican,3.75,2007,Ceriodaphnia spp.,23.91803596
Pelican,3.75,2007,Diaphanosoma spp.,0
Pelican,3.75,2007,Leptodora spp.,0
Pelican,4.75,2005,Chydorus spp.,1025.695581
Pelican,4.75,2005,Pleuroxus spp.,0
Pelican,4.75,2005,Leydgia spp.,0
Pelican,4.75,2005,Alona spp.,9.157996261
Pelican,4.75,2005,Paralona spp.,9.157996261
Pelican,4.75,2005,Bosmina spp.,485.3738018
Pelican,4.75,2005,Daphnia spp.,265.5818916
Pelican,4.75,2005,Ceriodaphnia spp.,0
Pelican,4.75,2005,Diaphanosoma spp.,18.31599252
Pelican,4.75,2005,Leptodora spp.,0
Pelican,5.75,2002,Chydorus spp.,946.4374351
Pelican,5.75,2002,Pleuroxus spp.,42.063886
Pelican,5.75,2002,Leydgia spp.,10.5159715
Pelican,5.75,2002,Alona spp.,52.5798575
Pelican,5.75,2002,Paralona spp.,0
Pelican,5.75,2002,Bosmina spp.,673.022176
Pelican,5.75,2002,Daphnia spp.,147.223601
Pelican,5.75,2002,Ceriodaphnia spp.,0
Pelican,5.75,2002,Diaphanosoma spp.,10.5159715
Pelican,5.75,2002,Leptodora spp.,0
Pelican,6.75,1999,Chydorus spp.,761.1119298
Pelican,6.75,1999,Pleuroxus spp.,0
Pelican,6.75,1999,Leydgia spp.,9.884570516
Pelican,6.75,1999,Alona spp.,49.42285258
Pelican,6.75,1999,Paralona spp.,0
Pelican,6.75,1999,Bosmina spp.,691.9199361
Pelican,6.75,1999,Daphnia spp.,177.9222693
Pelican,6.75,1999,Ceriodaphnia spp.,0
Pelican,6.75,1999,Diaphanosoma spp.,19.76914103
Pelican,6.75,1999,Leptodora spp.,0
Pelican,7.75,1996,Chydorus spp.,302.047312
Pelican,7.75,1996,Pleuroxus spp.,0
Pelican,7.75,1996,Leydgia spp.,0
Pelican,7.75,1996,Alona spp.,15.1023656
Pelican,7.75,1996,Paralona spp.,0
Pelican,7.75,1996,Bosmina spp.,362.4567744
Pelican,7.75,1996,Daphnia spp.,98.16537641
Pelican,7.75,1996,Ceriodaphnia spp.,0
Pelican,7.75,1996,Diaphanosoma spp.,7.5511828
Pelican,7.75,1996,Leptodora spp.,0
Pelican,8.75,1992,Chydorus spp.,862.8876231
Pelican,8.75,1992,Pleuroxus spp.,48.27343346
Pelican,8.75,1992,Leydgia spp.,0
Pelican,8.75,1992,Alona spp.,24.13671673
Pelican,8.75,1992,Paralona spp.,0
Pelican,8.75,1992,Bosmina spp.,1267.177628
Pelican,8.75,1992,Daphnia spp.,229.2988089
Pelican,8.75,1992,Ceriodaphnia spp.,12.06835837
Pelican,8.75,1992,Diaphanosoma spp.,24.13671673
Pelican,8.75,1992,Leptodora spp.,0
Pelican,9.75,1987,Chydorus spp.,625.7868042
Pelican,9.75,1987,Pleuroxus spp.,30.52618557
Pelican,9.75,1987,Leydgia spp.,0
Pelican,9.75,1987,Alona spp.,15.26309279
Pelican,9.75,1987,Paralona spp.,0
Pelican,9.75,1987,Bosmina spp.,778.4177321
Pelican,9.75,1987,Daphnia spp.,259.4725774
Pelican,9.75,1987,Ceriodaphnia spp.,0
Pelican,9.75,1987,Diaphanosoma spp.,15.26309279
Pelican,9.75,1987,Leptodora spp.,0
Pelican,11.75,1977,Chydorus spp.,1948.891933
Pelican,11.75,1977,Pleuroxus spp.,39.77330475
Pelican,11.75,1977,Leydgia spp.,79.54660949
Pelican,11.75,1977,Alona spp.,79.54660949
Pelican,11.75,1977,Paralona spp.,79.54660949
Pelican,11.75,1977,Bosmina spp.,2823.904637
Pelican,11.75,1977,Daphnia spp.,636.3728759
Pelican,11.75,1977,Ceriodaphnia spp.,0
Pelican,11.75,1977,Diaphanosoma spp.,119.3199142
Pelican,11.75,1977,Leptodora spp.,0
Pelican,12.75,1972,Chydorus spp.,778.10714
Pelican,12.75,1972,Pleuroxus spp.,64.84226166
Pelican,12.75,1972,Leydgia spp.,0
Pelican,12.75,1972,Alona spp.,0
Pelican,12.75,1972,Paralona spp.,0
Pelican,12.75,1972,Bosmina spp.,2982.744037
Pelican,12.75,1972,Daphnia spp.,259.3690467
Pelican,12.75,1972,Ceriodaphnia spp.,0
Pelican,12.75,1972,Diaphanosoma spp.,0
Pelican,12.75,1972,Leptodora spp.,0
Pelican,13.75,1966,Chydorus spp.,1029.011064
Pelican,13.75,1966,Pleuroxus spp.,90.79509385
Pelican,13.75,1966,Leydgia spp.,30.26503128
Pelican,13.75,1966,Alona spp.,30.26503128
Pelican,13.75,1966,Paralona spp.,0
Pelican,13.75,1966,Bosmina spp.,3117.298223
Pelican,13.75,1966,Daphnia spp.,181.5901877
Pelican,13.75,1966,Ceriodaphnia spp.,0
Pelican,13.75,1966,Diaphanosoma spp.,0
Pelican,13.75,1966,Leptodora spp.,0
Pelican,14.75,1955,Chydorus spp.,967.6769337
Pelican,14.75,1955,Pleuroxus spp.,76.3955474
Pelican,14.75,1955,Leydgia spp.,0
Pelican,14.75,1955,Alona spp.,76.3955474
Pelican,14.75,1955,Paralona spp.,0
Pelican,14.75,1955,Bosmina spp.,2699.309342
Pelican,14.75,1955,Daphnia spp.,152.7910948
Pelican,14.75,1955,Ceriodaphnia spp.,0
Pelican,14.75,1955,Diaphanosoma spp.,50.93036493
Pelican,14.75,1955,Leptodora spp.,0
