Depth,pb,se.pb,pb.lwr,pb.upr,ra,se.ra,ra.lwr,ra.upr,cs,se.cs,cs.lwr,cs.upr
1.25,62.99222312,18.08339924,44.90882387,81.07562236,26.17454815,7.658521915,18.51602624,33.83307007,20.70690538,2.81944757,17.88745781,23.52635295
2.25,76.21886921,21.21063156,55.00823766,97.42950077,15.13870895,8.78919438,6.349514572,23.92790333,14.48075427,3.432806708,11.04794757,17.91356098
3.25,96.42732273,13.86274652,82.56457622,110.2900692,27.01703546,6.097494971,20.91954049,33.11453044,12.71889274,2.312514003,10.40637874,15.03140674
4.25,57.55891955,19.76883195,37.7900876,77.32775149,26.05152784,8.734346615,17.31718123,34.78587446,17.34792195,3.304608825,14.04331313,20.65253078
5.25,94.00755988,19.16412639,74.8434335,113.1716863,26.87603761,8.084785497,18.79125211,34.9608231,14.64733735,3.320048965,11.32728838,17.96738631
6.25,90.06274697,22.36652285,67.69622412,112.4292698,18.0151224,9.004740495,9.010381905,27.0198629,23.15064266,3.621878536,19.52876412,26.77252119
7.25,73.97683551,21.56515008,52.41168543,95.54198559,25.01491294,9.465409431,15.54950351,34.48032237,18.17781601,3.865579346,14.31223667,22.04339536
8.25,110.2215845,15.00173661,95.21984786,125.2233211,30.39018824,6.618093156,23.77209508,37.00828139,26.30888487,2.40249995,23.90638492,28.71138482
9.25,113.7656851,17.60122085,96.16446424,131.3669059,36.53696881,7.774429701,28.7625391,44.31139851,26.84314188,3.150560768,23.69258111,29.99370264
10.25,118.2923095,18.38140034,99.9109092,136.6737099,19.69888211,8.11873466,11.58014745,27.81761677,30.34182126,2.974962443,27.36685882,33.31678371
11.25,98.30388825,24.61320309,73.69068517,122.9170913,30.83237543,10.6659377,20.16643773,41.49831313,32.74534655,4.066450046,28.6788965,36.81179659
12.25,85.48989714,23.41094993,62.0789472,108.9008471,29.16506713,9.918572073,19.24649506,39.08363921,26.77065447,4.129957142,22.64069733,30.90061161
13.25,89.20015839,23.91471118,65.28544721,113.1148696,28.70403413,10.56326908,18.14076505,39.2673032,28.21474063,4.159827206,24.05491342,32.37456783
14.25,65.04199516,22.74086423,42.30113092,87.78285939,22.36267494,9.994226466,12.36844847,32.3569014,36.03287273,3.693413234,32.33945949,39.72628596
15.25,95.61470064,22.05385821,73.56084244,117.6685588,26.2920052,9.15001393,17.14199127,35.44201913,35.89131782,3.784942246,32.10637557,39.67626006
16.25,84.03828208,14.35436471,69.68391737,98.39264679,26.93346425,6.408161,20.52530325,33.34162525,38.24777691,2.514254923,35.73352199,40.76203183
17.25,83.53767255,18.21480962,65.32286293,101.7524822,33.47812003,7.875716108,25.60240392,41.35383614,64.57748334,3.470725381,61.10675796,68.04820872
18.25,51.63556274,18.4499641,33.18559863,70.08552684,29.76174232,7.925420869,21.83632145,37.68716319,45.87826669,3.130117516,42.74814918,49.00838421
19.25,19.70626954,14.533293,5.172976538,34.23956254,29.64582581,6.554819463,23.09100634,36.20064527,11.98650316,2.552362398,9.434140765,14.53886556
20.25,41.66715604,11.49894644,30.1682096,53.16610248,35.41379591,5.138477954,30.27531796,40.55227387,7.869499895,1.880573731,5.988926165,9.750073626
